monoE,diode1_mean,diode1_std,AS_IC_mean,AS_IC_std,diode1/AS_IC_mean,diode1/AS_IC_std
8.879,108909560.0,,1.58524e-09,,6.870225328656859e+16,
8.887,109784390.0,,1.58883e-09,,6.909763159054147e+16,
8.895,111307750.0,,1.58955e-09,,7.002469252304111e+16,
8.903,112060580.0,,1.59046e-09,,7.045796813500497e+16,
8.911,113222730.0,,1.58827e-09,,7.128682780635534e+16,
8.919,113345070.0,,1.5836e-09,,7.1574305380146504e+16,
8.927,115507430.0,,1.59243e-09,,7.253532651356731e+16,
8.935,116577950.0,,1.59194e-09,,7.323011545661269e+16,
8.943,118418590.0,,1.59321e-09,,7.432704414358434e+16,
8.951,119170010.0,,1.59188e-09,,7.486117672186346e+16,
8.959,119499095.0,357760.6759413337,1.587375e-09,3.181980515338978e-13,7.528097220784586e+16,240469287103206.34
8.9595,119761320.0,,1.58746e-09,,7.544210247817267e+16,
8.96,120277100.0,,1.58775e-09,,7.575317272870414e+16,
8.9605,119973760.0,,1.58868e-09,,7.551788906513584e+16,
8.961,120614280.0,,1.5879e-09,,7.595836009824296e+16,
8.9615,120125590.0,,1.58725e-09,,7.568158135139392e+16,
8.962,120624200.0,,1.58685e-09,,7.601487223114976e+16,
8.9625,120459100.0,,1.58686e-09,,7.591035125972045e+16,
8.963,120361320.0,,1.58518e-09,,7.592911845973328e+16,
8.9635,120304480.0,,1.58442e-09,,7.592966511404805e+16,
8.964,120139440.0,,1.58234e-09,,7.592517410923064e+16,
8.9645,120089960.0,,1.58164e-09,,7.592749298196808e+16,
8.965,120273520.0,,1.58126e-09,,7.60618241149463e+16,
8.9655,120284000.0,,1.58021e-09,,7.611899684219186e+16,
8.966,120259610.0,,1.58042e-09,,7.609344984244694e+16,
8.9665,120425400.0,,1.58081e-09,,7.617955352003086e+16,
8.967,120465830.0,,1.58019e-09,,7.623502869908048e+16,
8.9675,120485470.0,,1.57995e-09,,7.625903984303301e+16,
8.968,120788230.0,,1.58905e-09,,7.601285673830275e+16,
8.9685,120576730.0,,1.58863e-09,,7.589981934119336e+16,
8.969,120677060.0,,1.58767e-09,,7.600890613288656e+16,
8.9695,120568330.0,,1.58727e-09,,7.595955949523395e+16,
8.97,120284710.0,,1.58596e-09,,7.58434702010139e+16,
8.9705,120253620.0,,1.58599e-09,,7.582243267612027e+16,
8.971,119751170.0,,1.58441e-09,,7.558092286718715e+16,
8.9715,119677300.0,,1.58426e-09,,7.554145152942067e+16,
8.972,119741590.0,,1.58433e-09,,7.557869257036098e+16,
8.9725,119208670.0,,1.58206e-09,,7.53502838071881e+16,
8.973,118889070.0,,1.58108e-09,,7.519484782553698e+16,
8.9735,118471100.0,,1.58092e-09,,7.493807403284163e+16,
8.974,118279940.0,,1.58051e-09,,7.483656541243016e+16,
8.9745,117739780.0,,1.5797e-09,,7.453299993669683e+16,
8.975,117246700.0,,1.57754e-09,,7.432248944559251e+16,
8.9755,116847790.0,,1.57775e-09,,7.405976231975915e+16,
8.976,116190370.0,,1.57651e-09,,7.370100411668813e+16,
8.9765,114676170.0,,1.57688e-09,,7.272346025062147e+16,
8.977,112893790.0,,1.57471e-09,,7.169179721980555e+16,
8.9775,110876830.0,,1.57443e-09,,7.0423473892138744e+16,
8.978,107806470.0,,1.57385e-09,,6.849856720780252e+16,
8.9785,103640040.0,,1.57206e-09,,6.592626235639861e+16,
8.979,97905923.0,,1.57099e-09,,6.232116245170243e+16,
8.9795,90401956.0,,1.56856e-09,,5.763372520018361e+16,
8.98,82352783.0,,1.56665e-09,,5.2566165384738136e+16,
8.9805,73383347.0,,1.56323e-09,,4.6943410118792504e+16,
8.981,65010741.0,,1.55923e-09,,4.169413171886123e+16,
8.9815,58152591.0,,1.55548e-09,,3.738562437318384e+16,
8.982,52742769.0,,1.55444e-09,,3.3930398728802656e+16,
8.9825,49304391.0,,1.55436e-09,,3.1720059059677296e+16,
8.983,47671210.0,,1.55753e-09,,3.060692891950717e+16,
8.9835,46940274.0,,1.55597e-09,,3.016785285063337e+16,
8.984,46796600.0,,1.55707e-09,,3.0054268594218628e+16,
8.9845,46721227.0,,1.55888e-09,,2.9971022144103456e+16,
8.985,46201649.0,,1.55989e-09,,2.961853015276718e+16,
8.9855,45455048.0,,1.56015e-09,,2.913504983495177e+16,
8.986,44486627.0,,1.55886e-09,,2.853792322594717e+16,
8.9865,43280720.0,,1.55784e-09,,2.7782519385816256e+16,
8.987,42003163.0,,1.5566e-09,,2.6983915585249904e+16,
8.9875,40734331.0,,1.49327e-09,,2.727861070000737e+16,
8.988,39461331.0,,1.55251e-09,,2.541776284854848e+16,
8.9885,38096440.0,,1.55238e-09,,2.454066658936601e+16,
8.989,36522214.0,106316.33297852217,1.55139e-09,4.2426406871264355e-14,2.3541606275612216e+16,67885926306261.87
8.9895,34966184.0,,1.54984e-09,,2.256115728075156e+16,
8.99,33464066.0,,1.54962e-09,,2.1595014261560896e+16,
8.9905,31874380.0,,1.54909e-09,,2.0576196347533068e+16,
8.991,30331005.0,,1.54697e-09,,1.960671829447242e+16,
8.9915,28874757.0,,1.5467e-09,,1.8668621581431436e+16,
8.992,27534442.0,,1.54556e-09,,1.781518802246435e+16,
8.9925,26327383.0,,1.54534e-09,,1.7036628185383152e+16,
8.993,25315104.0,,1.54434e-09,,1.6392183068495278e+16,
8.9935,24526271.0,,1.544e-09,,1.588489054404145e+16,
8.994,23911632.0,,1.54347e-09,,1.5492126183210558e+16,
8.9945,23511962.0,,1.54313e-09,,1.52365400193114e+16,
8.995,23309841.0,,1.54263e-09,,1.5110454872522898e+16,
8.9955,23258525.0,,1.54232e-09,,1.50802200580943e+16,
8.996,23321040.0,,1.54261e-09,,1.5117910554190626e+16,
8.9965,23583905.0,,1.5423e-09,,1.5291386241327888e+16,
8.997,23824472.0,,1.54229e-09,,1.5447465781402978e+16,
8.9975,24161898.0,,1.54307e-09,,1.5658329174956418e+16,
8.998,24481784.0,,1.54376e-09,,1.585854277867026e+16,
8.9985,24690444.0,,1.54231e-09,,1.6008742730060752e+16,
8.999,24874649.0,,1.54305e-09,,1.6120442629856454e+16,
8.9995,24982706.0,,1.5414e-09,,1.6207801998183468e+16,
9.0,24924766.0,,1.54137e-09,,1.6170527517727736e+16,
9.0005,24851357.0,,1.54146e-09,,1.6121960349279256e+16,
9.001,24606866.0,,1.54041e-09,,1.597423153575996e+16,
9.0015,24340250.0,,1.53677e-09,,1.5838577015428462e+16,
9.002,23974146.0,,1.53357e-09,,1.5632899704610812e+16,
9.0025,23582616.0,,1.53086e-09,,1.5404815593849208e+16,
9.003,23226051.0,,1.52794e-09,,1.5200892050734976e+16,
9.0035,22978958.0,,1.52845e-09,,1.5034157479799796e+16,
9.004,22871670.0,,1.53056e-09,,1.4943334465816434e+16,
9.0045,22834726.0,,1.53529e-09,,1.4873233069973752e+16,
9.005,22961800.0,,1.53835e-09,,1.4926252153281114e+16,
9.0055,22203710.0,,1.54287e-09,,1.4391173592071918e+16,
9.006,23426739.0,,1.54773e-09,,1.5136192359132406e+16,
9.0065,23713880.0,,1.54802e-09,,1.5318846009741476e+16,
9.007,24014663.0,,1.54842e-09,,1.5509140284935612e+16,
9.0075,24224106.0,,1.54964e-09,,1.563208616194729e+16,
9.008,24543339.0,,1.54918e-09,,1.5842793606940446e+16,
9.0085,24792310.0,,1.54948e-09,,1.6000406588016626e+16,
9.009,25090836.0,,1.54636e-09,,1.622574044853721e+16,
9.0095,25192699.0,,1.54233e-09,,1.6334182049237194e+16,
9.01,25354826.0,,1.53805e-09,,1.6485046649978868e+16,
9.0105,25586342.0,,1.53886e-09,,1.6626815954667742e+16,
9.011,25738662.0,,1.54066e-09,,1.6706257058663172e+16,
9.0115,25851912.0,,1.54379e-09,,1.6745743915947118e+16,
9.012,25952348.0,,1.54435e-09,,1.6804706187068994e+16,
9.0125,26041679.0,,1.54764e-09,,1.6826703238479232e+16,
9.013,26076994.0,,1.55338e-09,,1.6787260039397958e+16,
9.01329,26019316.0,,1.55242e-09,,1.6760487496940262e+16,
9.0135,26070899.0,,1.55542e-09,,1.676132427254375e+16,
9.014,25988596.0,,1.55698e-09,,1.6691669770966872e+16,
9.01444,25847404.0,,1.55256e-09,,1.6648248054825578e+16,
9.0145,25824840.0,,1.55793e-09,,1.65763801967996e+16,
9.015,25747408.0,,1.5568e-09,,1.6538674203494346e+16,
9.0155,25558373.0,,1.55695e-09,,1.6415667169787082e+16,
9.0156,24481177.0,,1.55355e-09,,1.5758216343213928e+16,
9.016,25400045.0,,1.55592e-09,,1.6324775695408504e+16,
9.0165,25218260.0,,1.55726e-09,,1.619399458022424e+16,
9.01678,25154537.0,,1.5612e-09,,1.611230912118883e+16,
9.017,24994932.0,,1.55526e-09,,1.6071224104008332e+16,
9.0175,24734541.0,,1.55695e-09,,1.5886535213076848e+16,
9.01799,24550313.0,,1.55958e-09,,1.5741618256197182e+16,
9.018,24466803.0,,1.55536e-09,,1.5730636637177244e+16,
9.0185,24165665.0,,1.5551e-09,,1.5539621246222108e+16,
9.019,23750527.0,,1.55657e-09,,1.5258245372839e+16,
9.01921,23750486.0,,1.56125e-09,,1.5212481024819856e+16,
9.02045,22863682.0,,1.5612e-09,,1.4644941070971048e+16,
9.02171,22831933.0,,1.55998e-09,,1.463604212874524e+16,
9.02299,22443126.0,,1.55832e-09,,1.4402129216078854e+16,
9.02428,21882807.0,,1.55924e-09,,1.4034277596777916e+16,
9.0256,21452089.0,,1.55796e-09,,1.3769345169323988e+16,
9.02693,21259695.0,,1.55611e-09,,1.3662077231044078e+16,
9.02829,21218066.0,,1.55487e-09,,1.364619936071826e+16,
